dgp,sigma,prevalence,n,estimand,estimator,info,design,rel_bestconv_mean,rel_bestconv_median,rel_bestconv_p90,share_worse_than_bestconv,rel_fixed_equal_mean,rel_fixed_equal_p90,max_weight_median,max_weight_p90,cv_weights_median,lambda
MAIN,0.75,0.25,400,dollars,HT,COR-10000,DEF-0.0,6.5744853986282585,6.5744853986282585,6.5744853986282585,1.0,0.99995,0.9999500000000001,50.0,50.0,0.0,0.0
MAIN,0.75,0.25,400,dollars,HT,COR-10000,DEF-0.25,2.1467188387270295,2.1462004226402565,2.1561806300055237,1.0,0.3265063913949791,0.3279454877827975,66.62849473493081,66.63108573534065,0.30116868576941297,0.25
MAIN,0.75,0.25,400,dollars,HT,COR-10000,DEF-0.5,1.3927191502402505,1.3924174097454647,1.3987557177840362,1.0,0.21182639094054564,0.21274452602632257,99.82842279019687,99.84005653718275,0.5617167104086384,0.5
MAIN,0.75,0.25,400,dollars,HT,COR-10000,DEF-0.75,1.06177131684783,1.0615093261524482,1.0653917729894735,1.0,0.16149069682374098,0.16204135210690454,198.97405730890404,199.04339926429518,0.9152012743230749,0.75
MAIN,0.75,0.25,400,dollars,HT,COR-10000,RA-EST,0.9248137025758824,0.9247431666121566,0.925226138993856,0.0,0.14066005258505906,0.14072278233060517,29091.39970320955,31211.051601528874,2.2802204221295312,1.0
MAIN,0.75,0.25,400,dollars,HT,COR-2000,DEF-0.0,6.5744853986282585,6.5744853986282585,6.5744853986282585,1.0,0.99995,0.9999500000000001,50.0,50.0,0.0,0.0
MAIN,0.75,0.25,400,dollars,HT,COR-2000,DEF-0.25,2.1461044486659095,2.1453232469343297,2.166470048638184,1.0,0.32641294539816473,0.329510462611683,66.62895132886919,66.63515434756675,0.30151311175867196,0.25
MAIN,0.75,0.25,400,dollars,HT,COR-2000,DEF-0.5,1.3927471228856934,1.3923367649156528,1.4058542742589863,1.0,0.21183064545555552,0.2138241849070933,99.83047279318791,99.85832849612537,0.5623348546952933,0.5
MAIN,0.75,0.25,400,dollars,HT,COR-2000,DEF-0.75,1.0623411935230898,1.0622024421205296,1.0702998380971853,1.0,0.1615773725324656,0.16278784698929952,198.98627384241507,199.15237267212382,0.9165165652357616,0.75
MAIN,0.75,0.25,400,dollars,HT,COR-2000,RA-EST,0.9265342394570532,0.9261479160179469,0.9285026335027429,0.0,0.14092173859544788,0.14122112257862596,29443.79103260409,35242.95108421874,2.291769221054464,1.0
MAIN,0.75,0.25,400,dollars,HT,COR-500,DEF-0.0,6.5744853986282585,6.5744853986282585,6.5744853986282585,1.0,0.99995,0.9999500000000001,50.0,50.0,0.0,0.0
MAIN,0.75,0.25,400,dollars,HT,COR-500,DEF-0.25,2.1566475919766037,2.153699860743185,2.2058063552720486,1.0,0.328016510622559,0.3354933399676415,66.62901752584241,66.63989022084073,0.3010590936911589,0.25
MAIN,0.75,0.25,400,dollars,HT,COR-500,DEF-0.5,1.4020965352221746,1.3990649442351162,1.4322059282449238,1.0,0.21325264950591286,0.21783215432303207,99.83077000914219,99.87960270949023,0.5613662341680818,0.5
MAIN,0.75,0.25,400,dollars,HT,COR-500,DEF-0.75,1.071253640986116,1.0688381823232749,1.0899430146548779,1.0,0.16293291616824773,0.16577548681324114,198.98804515162885,199.27935156366917,0.9145812026630735,0.75
MAIN,0.75,0.25,400,dollars,HT,COR-500,RA-EST,0.936983225269425,0.9331452976075094,0.9453531725996381,0.01,0.14251098288295688,0.1437840146604087,29495.889758228237,41479.76370361205,2.2839993877835942,1.0
MAIN,0.75,0.25,400,dollars,HT,KS-2000,DEF-0.0,6.5744853986282585,6.5744853986282585,6.5744853986282585,1.0,0.99995,0.9999500000000001,50.0,50.0,0.0,0.0
MAIN,0.75,0.25,400,dollars,HT,KS-2000,DEF-0.25,2.148184925124084,2.148163003312793,2.170985512752152,1.0,0.32672937661798085,0.33019724462837197,66.62816657397947,66.6348880389448,0.3010863130089506,0.25
MAIN,0.75,0.25,400,dollars,HT,KS-2000,DEF-0.5,1.3942967998836886,1.3941502373242023,1.4093295822242096,1.0,0.21206634443732963,0.21435276379792936,99.82694945704093,99.85713238024657,0.5614544440942009,0.5
MAIN,0.75,0.25,400,dollars,HT,KS-2000,DEF-0.75,1.0635138291698911,1.0632397063179737,1.0726414237596817,1.0,0.16175572520098985,0.16314399175824246,198.96527793146623,199.14523665742647,0.9148440187896065,0.75
MAIN,0.75,0.25,400,dollars,HT,KS-2000,RA-EST,0.9272398617571063,0.9267574316359714,0.9294162277779907,0.0,0.14102906061019985,0.14136007620619426,28843.33247305006,34947.66286109432,2.278416570358523,1.0
MAIN,0.75,0.25,400,dollars,HT,MIS-G-10000,DEF-0.0,6.5744853986282585,6.5744853986282585,6.5744853986282585,1.0,0.99995,0.9999500000000001,50.0,50.0,0.0,0.0
MAIN,0.75,0.25,400,dollars,HT,MIS-G-10000,DEF-0.25,2.1689854453597195,2.168800445350001,2.1783209034517537,1.0,0.3298930432699691,0.33131292494178444,66.62328085380369,66.62663659989809,0.2998979721694107,0.25
MAIN,0.75,0.25,400,dollars,HT,MIS-G-10000,DEF-0.5,1.4120586823714336,1.4119325832984868,1.4179695289571745,1.0,0.21476784779717076,0.21566686128416473,99.80501762618876,99.82008076491121,0.5593249110995862,0.5
MAIN,0.75,0.25,400,dollars,HT,MIS-G-10000,DEF-0.75,1.0792492264431275,1.0791284409192832,1.0826749459389668,1.0,0.1641490091691398,0.16467004587424514,198.83465021065183,198.92435517335673,0.9105846975855504,0.75
MAIN,0.75,0.25,400,dollars,HT,MIS-G-10000,RA-EST,0.9414067270803443,0.9413259899804669,0.9417072495317209,0.0,0.14318377784220215,0.1432294859709808,25593.344435385494,27740.24709853522,2.243798114563919,1.0
MAIN,0.75,0.25,400,dollars,HT,MIS-G-2000,DEF-0.0,6.5744853986282585,6.5744853986282585,6.5744853986282585,1.0,0.99995,0.9999500000000001,50.0,50.0,0.0,0.0
MAIN,0.75,0.25,400,dollars,HT,MIS-G-2000,DEF-0.25,2.171556021274303,2.1712981420857282,2.195273927041126,1.0,0.33028401643819977,0.3338914044592428,66.62303300202234,66.62963856450747,0.2996086100062566,0.25
MAIN,0.75,0.25,400,dollars,HT,MIS-G-2000,DEF-0.5,1.4137800460997139,1.4134907740248495,1.4289826097377871,1.0,0.2150296595673289,0.21734190190846533,99.8039051991453,99.83355843177972,0.558887821236713,0.5
MAIN,0.75,0.25,400,dollars,HT,MIS-G-2000,DEF-0.75,1.0804310464210103,1.0802077664128884,1.0893560595021992,1.0,0.16432875873358938,0.16568621354402926,198.82802754898492,199.00466391511034,0.9098174354489033,0.75
MAIN,0.75,0.25,400,dollars,HT,MIS-G-2000,RA-EST,0.9420753059094545,0.9417383513251323,0.9432370874856746,0.0,0.14328546570971315,0.1434621675223575,25447.87146754661,29990.741457004486,2.238714514076827,1.0
MAIN,0.75,0.25,400,dollars,HT,MIS-I-2000,DEF-0.0,6.5744853986282585,6.5744853986282585,6.5744853986282585,1.0,0.99995,0.9999500000000001,50.0,50.0,0.0,0.0
MAIN,0.75,0.25,400,dollars,HT,MIS-I-2000,DEF-0.25,2.1504017930593626,2.149075494351874,2.1745589444947355,1.0,0.3270665523750894,0.3307407477095016,66.62969936106009,66.63502122901936,0.30135417424690447,0.25
MAIN,0.75,0.25,400,dollars,HT,MIS-I-2000,DEF-0.5,1.3963708611969974,1.3951964341859755,1.4124135626242227,1.0,0.21238179994213247,0.21482182350587803,99.83383140895344,99.85773059591949,0.5620309479405626,0.5
